position,label,red,grn,blu
1,drtTone,116,81,67
2,ltTone,199,147,129
3,skyBlue,91,122,156
4,treeGrn,90,108,64
5,ltBlue,130,128,176
6,blueGrn,92,190,172
7,orange,224,124,47
8,medBlue,68,91,170
9,ltRed,198,82,97
10,purple,94,58,106
11,YelGrn,159,189,63
12,orgYel,230,162,39
13,blue,34,63,147
14,green,67,149,74
15,red,180,49,57
16,yellow,238,198,32
17,magenta,193,84,151
18,cyan,12,136,170
19,white,243,238,243
20,ltGrey,200,202,202
21,grey,161,162,161
22,drkGrey,120,121,120
23,chacoral,82,83,83
24,black,49,48,51
