position,name,left,width,top,height,light
T04A1,Checker,35,290,100,200,131.9395006
T04A2,cloth,70,290,330,290,150.5255682
T04A3,cloth,70,290,620,290,166.796875
T04A4,cloth,70,290,907,290,172.1778409
T04A5,Checker,40,290,1170,200,174.2586228
T04B1,cloth,355,290,45,290,126.1818182
T04B2,cloth,355,290,330,290,151.068842
T04B3,cloth,362,290,620,290,166.0771567
T04B4,cloth,357,290,910,290,170.9616717
T04B5,cloth,363,290,1212,290,172.6952425
T04C1,cloth,650,290,44,290,126.4802697
T04C2,cloth,652,290,330,290,150.3963068
T04C3,cloth,652,290,620,290,166.325132
T04C4,cloth,652,290,908,290,173.0590709
T04C5,cloth,657,290,1209,290,175.215493
T04D1,cloth,944,290,48,290,124.137324
T04D2,cloth,944,290,332,290,150.5184659
T04D3,cloth,944,290,622,290,166.7852273
T04D4,cloth,944,290,910,290,174.5229393
T04D5,cloth,951,290,1209,290,177.3894366
T05A1,Checker,1280,290,90,200,133.8448384
T05A2,cloth,1351,290,332,290,151.890641
T05A3,cloth,1344,290,622,290,167.3389205
T05A4,cloth,1325,290,910,290,174.9289773
T05A5,cloth,1330,290,1209,290,178
T05B1,cloth,1631,290,40,290,126.7481114
T05B2,cloth,1640,290,332,290,151.034311
T05B3,cloth,1640,290,622,290,166.3494838
T05B4,cloth,1631,290,912,290,173.5713148
T05B5,cloth,1632,290,1212,290,176.1
T05C1,cloth,1918,290,45,290,125.6420295
T05C2,cloth,1935,290,332,290,148.6311419
T05C3,cloth,1934,290,622,290,164.0227233
T05C4,cloth,1922,290,910,290,170.4461788
T05C5,cloth,1926,290,1212,290,172.6024648
T05D1,cloth,2210,290,42,290,122.9289653
T05D2,cloth,2220,290,332,290,145.8006802
T05D3,cloth,2220,290,622,290,159.7931458
T05D4,cloth,2215,290,910,290,164.668714
T05D5,cloth,2220,290,1212,290,167.5299296
T06A1,Checker,2580,290,90,200,129.5942081
T06A2,cloth,2623,290,332,290,145.4360715
T06A3,cloth,2621,290,622,290,157.9799376
T06A4,cloth,2626,290,910,290,162.1144886
T06A5,Checker,2575,290,1195,200,164.4764085
T06B1,cloth,2908,290,46,290,125.1097431
T06B2,cloth,2915,290,332,290,148.0677617
T06B3,cloth,2915,290,622,290,160.4419094
T06B4,cloth,2918,290,910,290,165.8327985
T06B5,cloth,2916,290,1212,290,166.9054617
T06C1,cloth,3202,290,45,290,126.4735275
T06C2,cloth,3212,290,332,290,149.8878321
T06C3,cloth,3212,290,622,290,163.0007122
T06C4,cloth,3212,290,910,290,169.4419534
T06C5,cloth,3210,290,1202,290,169.9262124
T06D1,cloth,3498,290,47,290,127.8808179
T06D2,cloth,3505,290,332,290,150.4221591
T06D3,cloth,3505,290,622,290,165.3389205
T06D4,cloth,3505,290,910,290,171.7253521
T06D5,cloth,3510,290,1209,290,171.8961268
T07A1,cloth,3902,290,48,290,126.9705546
T07A2,cloth,3897,290,329,290,150.1042414
T07A3,cloth,3909,290,619,290,164.0603633
T07A4,cloth,3903,290,907,290,168.7102353
T07A5,cloth,3897,290,1207,290,170.7690141
T07B1,cloth,4193,290,38,290,125.8732955
T07B2,cloth,4185,290,332,290,147.4480434
T07B3,cloth,4193,290,622,290,161.7642726
T07B4,cloth,4195,290,910,290,166.5877281
T07B5,cloth,4173,290,1192,290,168.0478873
T07C1,cloth,4479,290,43,290,125.7475192
T07C2,cloth,4488,290,327,290,146.2130682
T07C3,cloth,4485,290,619,290,160.3122759
T07C4,cloth,4485,290,910,290,165.4574464
T07C5,cloth,4475,290,1202,290,166.5176056
T07D1,Checker,4780,290,95,200,129.0234475
T07D2,cloth,4773,290,332,290,146.3015645
T07D3,cloth,4773,290,622,290,160.1095151
T07D4,cloth,4770,290,910,290,165.5930098
T07D5,cloth,4768,290,1202,290,167.0228873
T13A1,cloth,77,290,1578,290,174.7887324
T13A2,cloth,73,290,1870,290,173.4704225
T13A3,cloth,77,290,2156,290,169.7022167
T13A4,cloth,80,290,2448,290,156.9897727
T13A5,Checker,20,290,2710,200,131.5272727
T13B1,cloth,380,290,1577,290,174.1672535
T13B2,cloth,370,290,1860,290,173.4577465
T13B3,cloth,370,290,2154,290,169.7711508
T13B4,cloth,370,290,2446,290,158.1808099
T13B5,cloth,397,290,2738,290,135.5006082
T13C1,cloth,665,290,1582,290,176.3661972
T13C2,cloth,665,290,1866,290,176.3661972
T13C3,cloth,663,290,2159,290,171.7289213
T13C4,cloth,665,290,2453,290,159.9318182
T13C5,cloth,680,290,2750,290,135.337388
T13D1,cloth,957,290,1582,290,179.2450704
T13D2,cloth,950,290,1866,290,178.7391445
T13D3,cloth,950,290,2156,290,173.8255081
T13D4,cloth,950,290,2448,290,160.2372159
T13D5,cloth,962,290,2740,290,135.115601
T14A1,Checker,1300,290,1620,200,178.5880282
T14A2,cloth,1348,290,1872,290,177.7338068
T14A3,cloth,1352,290,2166,290,169.3678337
T14A4,cloth,1354,290,2458,290,154.0978993
T14A5,Checker,1310,290,2740,200,128.0763084
T14B1,cloth,1647,290,1597,290,176.5952945
T14B2,cloth,1644,290,1882,290,174.6387604
T14B3,cloth,1647,290,2169,290,166.9431018
T14B4,cloth,1653,290,2455,290,151.756138
T14B5,cloth,1655,290,2757,290,126.7818182
T14C1,cloth,1942,290,1578,290,173.5654929
T14C2,cloth,1940,290,1863,290,171.6912852
T14C3,cloth,1940,290,2166,290,165.8428337
T14C4,cloth,1940,290,2458,290,151.2036012
T14C5,cloth,1944,290,2747,290,128.4911332
T14D1,cloth,2234,290,1582,290,169.2471831
T14D2,cloth,2236,290,1867,290,169.1450704
T14D3,cloth,2235,290,2163,290,165.4579546
T14D4,cloth,2235,290,2458,290,153.3849392
T14D5,cloth,2237,290,2750,290,130.3645006
T15A1,cloth,2636,290,1582,290,165.2014084
T15A2,cloth,2636,290,1873,290,165.4729994
T15A3,cloth,2632,290,2166,290,161.6255042
T15A4,cloth,2631,290,2455,290,150.9350112
T15A5,Checker,2590,290,2725,220,129.7492898
T15B1,cloth,2927,290,1577,290,166.3338028
T15B2,cloth,2925,290,1863,290,166.0557218
T15B3,cloth,2919,290,2162,290,161.4823864
T15B4,cloth,2920,290,2456,290,149.4492838
T15B5,cloth,2925,290,2746,290,128.5328745
T15C1,cloth,3224,290,1584,290,168.9947183
T15C2,cloth,3225,290,1870,290,167.512464
T15C3,cloth,3222,290,2166,290,161.7786732
T15C4,cloth,3219,290,2458,290,148.2398007
T15C5,cloth,3221,290,2754,290,127.075
T15D1,cloth,3518,290,1579,290,171.6292254
T15D2,cloth,3510,290,1875,290,169.1432858
T15D3,cloth,3508,290,2166,290,161.978045
T15D4,cloth,3508,290,2454,290,148.0448863
T15D5,cloth,3511,290,2745,290,127.4415653
T16A1,cloth,3910,290,1580,290,168.6408451
T16A2,cloth,3900,290,1870,290,168.1779569
T16A3,cloth,3897,290,2161,290,161.3757202
T16A4,cloth,3897,290,2454,290,148.9862316
T16A5,cloth,3909,290,2745,290,128.0418694
T16B1,cloth,4197,290,1582,290,165.8112676
T16B2,cloth,4188,290,1870,290,166.675
T16B3,cloth,4188,290,2163,290,162.7369318
T16B4,cloth,4191,290,2455,290,150.3744478
T16B5,cloth,4195,290,2745,290,128.746799
T16C1,cloth,4485,290,1579,290,165.5070423
T16C2,cloth,4477,290,1867,290,166
T16C3,cloth,4482,290,2161,290,163.2602273
T16C4,cloth,4487,290,2453,290,151.44379
T16C5,cloth,4488,290,2746,290,129.7641525
T16D1,Checker,4780,290,1630,200,167.5834447
T16D2,cloth,4770,290,1867,290,167.2570422
T16D3,cloth,4770,290,2156,290,164.071987
T16D4,cloth,4772,290,2443,290,152.8774008
T16D5,Checker,4780,290,2730,200,130.7212468
