position,ecotype,status,outlier
T01_A1,cloth,control,no
T01_A2,cloth,control,no
T01_A3,cloth,control,no
T01_A4,cloth,control,no
T01_A5,cloth,control,no
T01_B1,cloth,control,no
T01_B2,cloth,control,no
T01_B3,cloth,control,no
T01_B4,cloth,control,no
T01_B5,cloth,control,no
T01_C1,cloth,control,no
T01_C2,cloth,control,no
T01_C3,cloth,control,no
T01_C4,cloth,control,no
T01_C5,cloth,control,no
T01_D1,cloth,control,no
T01_D2,cloth,control,no
T01_D3,cloth,control,no
T01_D4,cloth,control,no
T01_D5,cloth,control,no
T02_A1,cloth,control,no
T02_A2,cloth,control,no
T02_A3,cloth,control,no
T02_A4,cloth,control,no
T02_A5,cloth,control,no
T02_B1,cloth,control,no
T02_B2,cloth,control,no
T02_B3,cloth,control,no
T02_B4,cloth,control,no
T02_B5,cloth,control,no
T02_C1,cloth,control,no
T02_C2,cloth,control,no
T02_C3,cloth,control,no
T02_C4,cloth,control,no
T02_C5,cloth,control,no
T02_D1,cloth,control,no
T02_D2,cloth,control,no
T02_D3,cloth,control,no
T02_D4,cloth,control,no
T02_D5,cloth,control,no
T03_A1,cloth,control,no
T03_A2,cloth,control,no
T03_A3,cloth,control,no
T03_A4,cloth,control,no
T03_A5,cloth,control,no
T03_B1,cloth,control,no
T03_B2,cloth,control,no
T03_B3,cloth,control,no
T03_B4,cloth,control,no
T03_B5,cloth,control,no
T03_C1,cloth,control,no
T03_C2,cloth,control,no
T03_C3,cloth,control,no
T03_C4,cloth,control,no
T03_C5,cloth,control,no
T03_D1,cloth,control,no
T03_D2,cloth,control,no
T03_D3,cloth,control,no
T03_D4,cloth,control,no
T03_D5,cloth,control,no
T04_A1,cloth,control,no
T04_A2,cloth,control,no
T04_A3,cloth,control,no
T04_A4,cloth,control,no
T04_A5,cloth,control,no
T04_B1,cloth,control,no
T04_B2,cloth,control,no
T04_B3,cloth,control,no
T04_B4,cloth,control,no
T04_B5,cloth,control,no
T04_C1,cloth,control,no
T04_C2,cloth,control,no
T04_C3,cloth,control,no
T04_C4,cloth,control,no
T04_C5,cloth,control,no
T04_D1,cloth,control,no
T04_D2,cloth,control,no
T04_D3,cloth,control,no
T04_D4,cloth,control,no
T04_D5,cloth,control,no
T05_A1,cloth,control,no
T05_A2,cloth,control,no
T05_A3,cloth,control,no
T05_A4,cloth,control,no
T05_A5,cloth,control,no
T05_B1,cloth,control,no
T05_B2,cloth,control,no
T05_B3,cloth,control,no
T05_B4,cloth,control,no
T05_B5,cloth,control,no
T05_C1,cloth,control,no
T05_C2,cloth,control,no
T05_C3,cloth,control,no
T05_C4,cloth,control,no
T05_C5,cloth,control,no
T05_D1,cloth,control,no
T05_D2,cloth,control,no
T05_D3,cloth,control,no
T05_D4,cloth,control,no
T05_D5,cloth,control,no
T06_A1,cloth,control,no
T06_A2,cloth,control,no
T06_A3,cloth,control,no
T06_A4,cloth,control,no
T06_A5,cloth,control,no
T06_B1,cloth,control,no
T06_B2,cloth,control,no
T06_B3,cloth,control,no
T06_B4,cloth,control,no
T06_B5,cloth,control,no
T06_C1,cloth,control,no
T06_C2,cloth,control,no
T06_C3,cloth,control,no
