position,name,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T06B1,cloth,3053.0,191.0,263.08488934473354,260.456453693978,249.6834858234821,243.58693435506808,258.35506876409147,285.8823301676018,0.30918940182875065,0.3279348680260329,0.36287573014521635,133.0,206.0,192.0
T06D1,cloth,3643.0,192.0,266.5494480247298,262.7476251352157,252.27712648305936,246.10110249962193,260.7952566642287,289.49794898146513,0.3090191629731193,0.32747001579102464,0.36351082123585604,135.0,207.0,192.0
T07A1,cloth,4047.0,193.0,264.47416191453425,260.56807862241794,250.43069301252308,244.1857160182018,258.6940790447597,287.2303128142438,0.3090527681948752,0.32741522537889683,0.36353200642622785,133.0,207.0,192.0
T04D1,cloth,1089.0,193.0,258.2692756555117,259.4224617574106,247.97378511818522,241.64310925792566,256.90443323072594,281.1497339853487,0.3099191398368101,0.3294925363758054,0.36058832378738453,132.0,206.0,193.0
T07C1,cloth,4624.0,220.75,255.7203097036272,252.52817250382813,243.06075659027172,236.69153709069406,250.74512746119865,277.81070906354364,0.30930068530968896,0.3276654531678365,0.3630338615224745,251.0,126.0,126.0
T07B1,cloth,4338.0,220.75,257.18451618916424,254.07608925285336,244.3671798492734,238.04807551695342,252.23564345589392,279.41190803979316,0.3092755982528715,0.327708297414754,0.3630161043323746,245.0,102.0,221.0
T05D1,cloth,2355.0,220.75,263.9923292049407,262.5475008278953,251.35435543338514,245.1875398780765,260.2713288795865,287.0262145031969,0.30939073183459387,0.3284242623326625,0.36218500583274366,134.0,207.0,193.0
T05C1,cloth,2063.0,220.75,262.84692770507144,262.3427275082099,251.0531629723946,244.78341569173944,259.97815996212216,285.90750419528354,0.30959022166194056,0.3288077991006356,0.36160197923742377,134.0,207.0,193.0
T06C1,cloth,3347.0,220.75,262.2580428575808,259.43967491118894,248.8939821208491,242.7485285953553,257.4003334934566,284.96011847847547,0.3091908698075969,0.3278529985830372,0.3629561316093659,132.0,206.0,192.0
T05B1,cloth,1776.0,220.75,261.7211392445835,262.14146058098487,250.75712791655803,244.38621144009988,259.6900110603678,284.80794988579333,0.3097871905591245,0.32918648915827897,0.36102632028259646,134.0,206.0,193.0
T04C1,cloth,795.0,220.75,257.6588645946895,258.2875257150141,246.84696882433428,240.6623796163259,255.8090815158514,280.412596801255,0.30977901677697595,0.32927575087114286,0.3609452323518811,131.0,206.0,193.0
T04B1,cloth,500.0,220.75,256.3917875539435,256.5851517604776,245.17264775726642,239.13443872361455,254.14409103476163,278.9732077819505,0.30965866063995356,0.32909487759034056,0.3612464617697058,131.0,206.0,193.0
T07C2,cloth,4633.0,472.0,260.5288864077644,256.6592054060963,247.03750965633938,240.6765805372308,254.89225136029376,282.9495914404409,0.309146930017801,0.32740683292685746,0.36344623705534146,132.0,206.0,193.0
T07A2,cloth,4042.0,474.0,264.47416191453425,260.56807862241794,250.43069301252308,244.1857160182018,258.6940790447597,287.2303128142438,0.3090527681948752,0.32741522537889683,0.36353200642622785,133.0,207.0,192.0
T04B2,cloth,500.0,475.0,262.36891464560165,261.7312372971675,250.1369739142816,244.10062188483997,259.31150221591236,285.3626481761506,0.30946808957924854,0.32875227673341445,0.361779633687337,134.0,207.0,192.0
T04C2,cloth,797.0,475.0,263.64458203916615,263.44515277003984,251.8226463106177,245.63892169885776,260.98778076806025,286.81179576507736,0.3095878536852075,0.32893259067919517,0.3614795556355973,134.0,207.0,193.0
T04A2,cloth,215.0,475.0,261.14478936894886,260.0865709343102,248.51940949355506,242.62447559866126,257.7029520901138,283.97205200495824,0.30935182526629423,0.32857723199146593,0.3620709427422399,132.0,206.0,193.0
T06C2,cloth,3357.0,477.0,268.04949173194075,264.33342795851775,253.61552513651208,247.49084291533507,262.32225381963326,291.1383381424478,0.30899606660073337,0.32751330779472426,0.36349062560454226,135.0,207.0,192.0
T06B2,cloth,3060.0,477.0,269.5700138515368,265.94087996712085,254.9721954439369,248.8995558964505,263.8700973525859,292.8011216947068,0.3089729216080763,0.32755669093260387,0.36347038745931975,136.0,207.0,192.0
T06D2,cloth,3650.0,477.0,266.5494480247298,262.7476251352157,252.27712648305936,246.10110249962193,260.7952566642287,289.49794898146513,0.3090191629731193,0.32747001579102464,0.36351082123585604,135.0,207.0,192.0
T06A2,cloth,2768.0,477.0,271.06493795565154,267.5212704940976,256.3060261838966,250.28455317081313,265.39188291360335,294.4359122578706,0.3089504235837958,0.32759886138838423,0.36345071502781995,7.0,126.0,126.0
T05D2,cloth,2365.0,477.0,269.8846846531063,267.5094783272298,256.1383849049049,249.99822990007166,265.262612180451,293.3096660137461,0.3091854419589159,0.32806367475070564,0.3627508832903784,7.0,124.0,126.0
T05C2,cloth,2080.0,477.0,268.7667414083709,267.30961395698887,255.84441281112987,249.6037936223111,264.9764712849806,292.2177741036252,0.3093758060298578,0.32842974136355724,0.3621944526065849,137.0,207.0,192.0
