position,name,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T05A1,Checker,1425.0,190.0,-2.5662529396324354,-5.382522728263466,-2.199699641248013,-3.2949899452391844,-4.502358778418766,-3.1228031120908604,0.3017348105410516,0.412298184690033,0.2859670047689154,252.0,130.0,127.0
T06A1,Checker,2725.0,190.0,-2.9233015793015706,-4.208145329516326,-2.099132369885061,-2.898006004283151,-3.666882250396745,-3.3201871497885884,0.29316984299109405,0.3709513686399554,0.3358787883689506,253.0,129.0,127.0
T07D1,Checker,4887.25,195.0,-1.5760970249830235,-0.5435773738412308,-2.662620728111593,-1.57697224441405,-1.0687626293985324,-1.6140403820772904,0.37020080865384025,0.25089648284162036,0.3789027085045395,154.0,226.0,67.0
T04A1,Checker,245.75,200.0,0.6526333864307325,0.3702890364371261,1.0779351803459807,0.6947673101048948,0.5411644345257317,0.6851763647363146,0.36164925165707623,0.2816938994151977,0.3566568489277261,0.0,128.0,128.0
T04A5,Checker,245.75,1270.0,0.6526333864307325,0.3702890364371261,1.0779351803459807,0.6947673101048948,0.5411644345257317,0.6851763647363146,0.36164925165707623,0.2816938994151977,0.3566568489277261,0.0,128.0,128.0
T06A5,Checker,2720.0,1295.0,0.7592070752538,1.8770587984654252,1.734297934347046,1.5235030737952793,1.7660166710699443,0.978738731502258,0.3569378663992867,0.4137557931057914,0.22930634049492182,1.0,128.0,129.0
T14A1,Checker,1445.0,1720.0,4.6485856170798,4.094669813118737,5.480263837556784,4.563305123333419,4.429327395136519,5.011576728486152,0.32585239500939933,0.31628543368839357,0.35786217130220704,2.0,128.0,128.0
T16D1,Checker,4887.25,1730.0,-1.5760970249830235,-0.5435773738412308,-2.662620728111593,-1.57697224441405,-1.0687626293985324,-1.6140403820772904,0.37020080865384025,0.25089648284162036,0.3789027085045395,154.0,226.0,67.0
T13A5,Checker,245.75,2810.0,-1.0659843425936506,-5.858345192551026,-3.227744120206342,-3.6184514961643615,-4.952999575241218,-1.77368205353875,0.3497733139305381,0.4787758180992835,0.17145086797017847,252.0,129.0,126.0
T16D5,Checker,4887.25,2830.0,-1.5760970249830235,-0.5435773738412308,-2.662620728111593,-1.57697224441405,-1.0687626293985324,-1.6140403820772904,0.37020080865384025,0.25089648284162036,0.3789027085045395,154.0,226.0,67.0
T15A5,Checker,2735.0,2835.0,-2.9673354533515677,-4.74259634325821,-3.9256943352473845,-3.8504354481771847,-4.4407344437293474,-3.4610495724492254,0.32763474676893817,0.37786347142324944,0.2945017818078124,253.0,129.0,127.0
T14A5,Checker,1455.0,2840.0,-1.0659843425936506,-5.858345192551026,-3.227744120206342,-3.6184514961643615,-4.952999575241218,-1.77368205353875,0.3497733139305381,0.4787758180992835,0.17145086797017847,252.0,129.0,126.0
T07B1,cloth,4338.0,183.0,-5.918268000107737,-4.284053424054477,-6.233616165369746,-5.170847480384696,-4.816622451413932,-6.255299352700726,0.31834765302732526,0.29653948578894646,0.3851128611837284,252.0,127.0,128.0
T05B1,cloth,1776.0,185.0,-2.5737355346997646,-4.269582299109061,-1.1508483850742408,-2.4657737745403754,-3.483914800019914,-2.976981871928473,0.27622547391231056,0.39028155244493035,0.33349297364275904,253.0,129.0,127.0
T05D1,cloth,2355.0,187.0,-2.5672998929603423,-4.582482200785108,-1.2280420339633622,-2.608337084489394,-3.7236383578116112,-3.0096536745661973,0.27921651050990587,0.3986069572263608,0.3221765322637334,253.0,129.0,127.0
T07C1,cloth,4624.0,188.0,-3.319401050666201,-4.155413402417167,-5.034520030730583,-4.16134095300667,-4.282036782523518,-3.7470693690754477,0.3413608145212727,0.35126166790927094,0.3073775175694564,252.0,128.0,127.0
T04C1,cloth,795.0,189.0,-4.781438048734202,-9.958226058501495,-6.388009955075901,-7.058349954070582,-8.825304167376926,-5.854266207643464,0.32470217238880394,0.40598659088681915,0.2693112367243769,249.0,130.0,126.0
T06C1,cloth,3347.0,190.0,-5.696143379110076,-5.0151302752693,-6.548376765183619,-5.522008502202178,-5.390362874976935,-6.137437476666442,0.32387509734202674,0.3161538596229569,0.35997104303501637,251.0,128.0,128.0
T05C1,cloth,2063.0,190.0,-2.532550589421483,-4.848466868592013,-2.2091658780462495,-3.101847575890879,-4.120008300357327,-3.027303463755429,0.30264409723673774,0.4019849983477636,0.2953709044154987,253.0,129.0,127.0
T04B1,cloth,500.0,190.0,-5.688532756768154,-9.986373571916033,-6.684083690299282,-7.354206240487715,-8.973870343956,-6.725361246184773,0.31900692185340856,0.38926386640839467,0.2917292117381967,249.0,130.0,126.0
T06B1,cloth,3053.0,191.0,-3.250642739244185,-3.906419418161036,-2.8874758783388543,-3.174337975639147,-3.6423874494519053,-3.6105392359126456,0.30442671964687573,0.3493138006819614,0.34625947967116294,254.0,128.0,128.0
T06D1,cloth,3643.0,192.0,-5.875932755098582,-4.59300719958064,-5.666650875846237,-5.039834638504453,-4.913937725048934,-6.240931163995417,0.3112026490593787,0.30342869301002245,0.3853686579305988,252.0,127.0,128.0
T04D1,cloth,1089.0,193.0,-2.582100882617219,-6.484724849415258,-3.232783761299018,-4.1180728013980925,-5.511453871245258,-3.289210697578844,0.3187674370477015,0.4266248096311028,0.2546077533211956,252.0,130.0,126.0
